Time: 0.21044072899999997, Heading: 0.0, ActualHeading: -0.009660021266252438, CurrentVelo: 19.53906266339064, VeloCommand: 43.57191138386154, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.21145602100000002, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 43.070540025693944, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.21585960500000004, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 43.619545510837355, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.21692652200000004, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 43.752560637877686, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.21800423, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 43.88692110502965, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.219099439, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 44.023463464248515, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.22025735500000002, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 44.167823657067665, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.221521439, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 44.32542007164316, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.22267818900000003, Heading: 0.0, ActualHeading: -0.01010644596085682, CurrentVelo: 22.22280023021902, VeloCommand: 44.46963489641763, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.22371156399999995, Heading: 0.0, ActualHeading: -0.012110642654702571, CurrentVelo: 22.22280023021902, VeloCommand: 44.59794481317096, DesiredVelo: 28.0, LateralVelo: -3.0160420230974037
Time: 0.22478168900000003, Heading: 0.0, ActualHeading: -0.012110642654702571, CurrentVelo: 22.22280023021902, VeloCommand: 44.73135691893843, DesiredVelo: 28.0, LateralVelo: -0.30222844795926884
Time: 0.22581623099999995, Heading: 0.0, ActualHeading: -0.014926552266822515, CurrentVelo: 25.904745706243595, VeloCommand: 43.209488465895916, DesiredVelo: 28.0, LateralVelo: -0.30222844795926884
Time: 0.23043973099999998, Heading: 0.0, ActualHeading: -0.014926552266822515, CurrentVelo: 25.904745706243595, VeloCommand: 43.785876634590615, DesiredVelo: 28.0, LateralVelo: -0.30222844795926884
Time: 0.23162798099999998, Heading: 0.0, ActualHeading: -0.014926552266822515, CurrentVelo: 25.904745706243595, VeloCommand: 43.9340097029266, DesiredVelo: 28.0, LateralVelo: -2.039061784209625
Time: 0.23271473199999998, Heading: 0.0, ActualHeading: -0.014548808294464961, CurrentVelo: 26.746282047855917, VeloCommand: 43.245209306548, DesiredVelo: 28.0, LateralVelo: -2.039061784209625
Time: 0.23752344, Heading: 0.0, ActualHeading: -0.014548808294464961, CurrentVelo: 26.746282047855917, VeloCommand: 43.8446897497658, DesiredVelo: 28.0, LateralVelo: -2.039061784209625
